gene	exprA	exprB
alr4235	699	1920.75
alr4249	685.5	710.5
alr4251	1875.25	2036
alr4280	295.5	322.75
alr4281	530.5	1855.5
alr4282	225.25	395.25
alr4344	1679	2501.5
alr4385	4570	11838
alr4392	4926.5	23387
alr4398	273.75	772.5
alr4552	4134.25	7856.25
alr4571	1057	1981.5
alr4596	1454.25	2299.5
alr4674	1229.75	2053.75
alr4686	1386.5	12206.5
alr4700	907	1705.5
alr4703	389	1698
alr4717	520	1935.5
alr4718	1078	2580
alr4766	642	1025.5
alr4798	642.5	374
alr4800	1428.5	22569.5
alr4812	3451.5	10662.5
alr4833	947	2565.5
alr4841	590	2432
alr4842	218.25	215.5
alr4849	655	1372.75
alr4851	7925	19381.5
alr4853	4669	10078
alr4907	1029.25	1305
alr4973	126	146.5
alr4974	453.5	581.5
alr4975	224.5	435
alr4990	435	644.75
alr5034	645.25	1540
alr5050	1144	10489.5
alr5103	883	2823.5
alr5211	448	371.5
alr5351	124.5	488
alr5354	223.5	499
alr5355	221	433.75
alr5358	410	3730
alr7003	441	796.25
alr7007	98.5	181
alr7009	584.5	1268
alr7014	401.5	1456.75
alr7015	434.75	1957.25
alr7017	1781	4219.5
alr7019	636.25	1400
alr7020	334.25	1325.25
alr7025	474.5	1018
alr7029	4419	15113
alr7036	174.5	144
alr7042	209.5	166.75
alr7043	434	305.5
alr7046	131	259
alr7048	231	244.5
alr7049	525.25	1131.25
alr7052	489.5	1235.75
alr7057	6406.5	2192.5
alr7058	149.25	177.75
alr7059	134	174
alr7062	198	206
alr7063	192	277.5
alr7064	225	573
alr7068	357	2515
alr7069	465.5	1051.5
alr7073	2092	2107
alr7074	7994.75	4850.25
alr7075	1845	5032
alr7076	657.5	3180.75
alr7077	738.75	5281.75
alr7078	464.75	1190.5
alr7079	951.25	1347.75
alr7082	1109.75	1936.25
alr7083	1681.75	2070.5
alr7086	263	316
alr7088	138.5	129.5
alr7089	532.5	1049.75
alr7092	1029.75	3449.75
alr7093	1526.5	5469.25
alr7094	1080	5306.5
alr7095	413.25	1637.5
alr7096	1667	4404.5
alr7097	215.5	331.5
alr7100	464	1000
alr7101	397	1008
alr7102	5096.25	9133.5
alr7103	2189	9783.75
alr7107	288.75	285
alr7124	257.5	803
alr7125	193.5	2028.75
alr7126	915.25	10252.5
alr7127	1129	10443
alr7129	245.5	1004
alr7132	1993.25	5205
alr7138	156	209
alr7139	123.5	119.75
alr7141	142.5	169.25
alr7144	171.75	206.5
alr7147	517.25	1143.5
alr7149	147.25	124
alr7153	213	349.5
alr7157	577	2108.5
alr7162	2402.25	14363.8
alr7163	1596	13920.2
alr7168	1055	1324.75
alr7169	2524	11367.2
alr7184	525.75	1254
alr7189	270.75	832.5
alr7190	945.25	3551.5
alr7192	324	1700.75
alr7199	467.75	1271.75
alr7200	1477	1992.25
alr7201	1005	1504
alr7202	1300.25	2901
alr7203	796.5	1947.75
alr7204	4418.75	5471
alr7205	1116	1155.5
alr7206	738.5	808.5
alr7207	2081	7225.75
alr7208	1110	2673.75
alr7209	226.5	242.75
alr7210	481	734.25
alr7211	749.25	1210
alr7212	1216	2475
alr7213	869.75	2209
alr7214	463.5	1725.5
alr7215	914	1932.25
alr7216	367	335.75
alr7219	4560.75	10123.8
alr7224	1115.25	1320.5
alr7228	16839.8	25286.8
alr7231	20705.8	27926
alr7232	768	1322.5
alr7233	1500	4808
alr7239	322.5	999.5
alr7240	320.25	695.5
alr7241	334.75	686.5
alr7242	224	653.5
alr7243	674.75	3217.5
alr7249	1179.75	4786.75
alr7250	949.5	1123.25
alr7253	1469.25	1057.5
alr7254	1219	2737.5
alr7261	645.75	2280
alr7264	1492.25	1391
alr7276	412.5	1785.75
alr7278	613.5	935.5
alr7292	485.75	889.75
alr7294	1031.5	2542.5
alr7295	486	1745
alr7297	839	1220.5
alr7298	302.75	1654
alr7299	567.25	796
alr7300	775.25	10539.5
alr7301	525	11702.5
alr7304	1654.25	4065.5
alr7305	4145.75	5950
alr7307	103	76
alr7308	309.5	511.5
alr7311	2145.5	2475.5
alr7312	5437	7638.5
alr7318	1116.75	4395.5
alr7321	1567	3870.75
alr7323	1449.5	2354.25
alr7325	17914.2	21935.2
alr7326	2279.25	4332.75
alr7329	6250.25	9419.5
alr7333	278.25	1042.75
alr7334	385	1031
alr7336	1711.5	6461
alr7337	1543.25	5221.75
alr7341	310.75	1439
alr7342	255.75	494.25
alr7345	1724.5	3325
alr7346	2065.5	3306
alr7349	2185.5	1940.75
alr7350	3979.5	6963
alr7352	757.5	3571.25
alr7354	4078.75	664.25
alr7357	273.5	613.75
alr7358	1385	3154
alr7361	369	419.75
alr7378	3543	18672.8
alr7381	197	550
alr7383	992	1465.75
alr7384	2945.5	4970
alr7386	385	533.5
alr7502	446.75	778
alr7503	187	277
alr7504	730	804
alr7505	371	911.75
alr7506	609.25	667.5
alr7507	653	556
alr7508	1467	933
alr7511	225	533.5
alr7512	132	156.75
alr7513	235	312.5
alr7514	329.25	420.5
alr7515	654.5	1145.75
alr7517	232.5	185.75
alr7518	280.5	364.75
alr7522	216	377.5
alr7524	407.25	561.75
alr7526	222.5	312.5
alr7528	118.25	121
alr7529	163.75	100.5
alr7530	464	347
alr7531	245.5	297.25
alr7532	195.75	239
alr7533	125.5	190
alr7534	124	105.75
alr7535	76.5	78.75
alr7536	132.75	166
alr7537	165	185.25
alr7538	310	487
alr7539	150.25	163.25
alr7540	393.5	373.5
alr7541	314.75	288.25
